start_time,end_time,max_value,avg_value,length,duration,time_diff
2024-05-28 07:32:21+00:00,2024-05-28 07:32:28+00:00,71.89,69.53714285714285,7,7.0,42.0
2024-05-28 07:32:30+00:00,2024-05-28 07:32:34+00:00,72.22,69.0625,4,4.0,9.0
2024-05-28 07:32:36+00:00,2024-05-28 07:32:40+00:00,67.73,66.56,4,4.0,6.0
2024-05-28 07:32:50+00:00,2024-05-28 07:32:53+00:00,74.24,68.84333333333333,3,3.0,14.0
2024-05-28 07:32:54+00:00,2024-05-28 07:32:57+00:00,73.32,70.47,3,3.0,4.0
2024-05-28 07:36:31+00:00,2024-05-28 07:36:34+00:00,70.34,68.32333333333334,3,3.0,217.0
2024-05-28 07:36:37+00:00,2024-05-28 07:36:49+00:00,82.27,70.89583333333333,12,12.0,6.0
2024-05-28 07:38:35+00:00,2024-05-28 07:38:38+00:00,69.5,67.35000000000001,3,3.0,118.0
2024-05-28 07:38:39+00:00,2024-05-28 07:38:45+00:00,78.03,69.795,6,6.0,4.0
2024-05-28 07:38:46+00:00,2024-05-28 07:38:52+00:00,81.54,72.73333333333333,6,6.0,7.0
2024-05-28 07:38:53+00:00,2024-05-28 07:39:34+00:00,90.97,71.91048780487804,41,41.0,7.0
2024-05-28 07:40:23+00:00,2024-05-28 07:40:37+00:00,71.38,67.67999999999999,14,14.0,90.0
2024-05-28 07:40:39+00:00,2024-05-28 07:40:43+00:00,70.25,67.8725,4,4.0,16.0
2024-05-28 07:40:48+00:00,2024-05-28 07:41:45+00:00,95.94,71.48350877192982,57,57.0,9.0
2024-05-28 07:42:04+00:00,2024-05-28 07:42:17+00:00,73.05,69.12846153846154,13,13.0,76.0
2024-05-28 07:42:33+00:00,2024-05-28 07:42:49+00:00,72.47,68.065,16,16.0,29.0
2024-05-28 07:42:52+00:00,2024-05-28 07:43:17+00:00,76.53,70.0424,25,25.0,19.0
2024-05-28 07:43:18+00:00,2024-05-28 07:44:04+00:00,76.37,68.53739130434782,46,46.0,26.0
2024-05-28 07:44:47+00:00,2024-05-28 07:45:02+00:00,72.65,68.91866666666667,15,15.0,89.0
2024-05-28 07:45:04+00:00,2024-05-28 07:45:07+00:00,67.53,66.54333333333334,3,3.0,17.0
2024-05-28 07:45:12+00:00,2024-05-28 07:46:26+00:00,80.53,71.29216216216216,74,74.0,8.0
2024-05-28 07:46:49+00:00,2024-05-28 07:46:52+00:00,70.79,67.98,3,3.0,97.0
2024-05-28 07:48:51+00:00,2024-05-28 07:48:58+00:00,68.79,66.94142857142857,7,7.0,59.0
2024-05-28 07:49:00+00:00,2024-05-28 07:49:21+00:00,77.91,68.76714285714286,21,21.0,9.0
2024-05-28 07:49:49+00:00,2024-05-28 07:49:53+00:00,67.52,66.195,4,4.0,49.0
2024-05-28 07:50:06+00:00,2024-05-28 07:50:09+00:00,68.13,67.33999999999999,3,3.0,17.0
2024-05-28 07:50:13+00:00,2024-05-28 07:51:10+00:00,77.5,69.72087719298246,57,57.0,7.0
2024-05-28 07:51:14+00:00,2024-05-28 07:51:18+00:00,66.71,65.9975,4,4.0,61.0
2024-05-28 07:51:33+00:00,2024-05-28 07:51:44+00:00,78.08,70.60454545454546,11,11.0,19.0
2024-05-28 07:52:09+00:00,2024-05-28 07:52:15+00:00,69.9,68.02666666666667,6,6.0,36.0
2024-05-28 07:53:23+00:00,2024-05-28 07:53:35+00:00,68.52,66.94250000000001,12,12.0,55.0
2024-05-28 07:53:37+00:00,2024-05-28 07:53:42+00:00,76.58,71.426,5,5.0,14.0
2024-05-28 07:53:50+00:00,2024-05-28 07:53:53+00:00,67.4,66.52,3,3.0,13.0
