start_time,end_time,max_value,avg_value,length,duration,time_diff
2024-05-28 07:31:01+00:00,2024-05-28 07:31:05+00:00,75.11,70.85249999999999,4,4.0,4.0
2024-05-28 07:31:14+00:00,2024-05-28 07:31:17+00:00,80.73,76.85666666666667,3,3.0,13.0
2024-05-28 07:31:18+00:00,2024-05-28 07:31:25+00:00,75.34,71.03714285714285,7,7.0,4.0
2024-05-28 07:31:58+00:00,2024-05-28 07:32:01+00:00,70.73,69.60000000000001,3,3.0,40.0
2024-05-28 07:32:08+00:00,2024-05-28 07:32:13+00:00,73.84,68.658,5,5.0,10.0
2024-05-28 07:32:21+00:00,2024-05-28 07:32:28+00:00,72.86,69.13428571428571,7,7.0,13.0
2024-05-28 07:32:30+00:00,2024-05-28 07:32:34+00:00,70.73,67.975,4,4.0,9.0
2024-05-28 07:32:53+00:00,2024-05-28 07:32:57+00:00,76.34,72.5875,4,4.0,23.0
2024-05-28 07:43:01+00:00,2024-05-28 07:43:04+00:00,68.53,67.06,3,3.0,390.0
2024-05-28 07:43:06+00:00,2024-05-28 07:43:15+00:00,69.86,67.77777777777777,9,9.0,5.0
2024-05-28 07:43:17+00:00,2024-05-28 07:43:20+00:00,65.33,65.25666666666666,3,3.0,11.0
2024-05-28 07:43:27+00:00,2024-05-28 07:43:32+00:00,69.71,67.668,5,5.0,10.0
2024-05-28 07:44:44+00:00,2024-05-28 07:44:51+00:00,66.75,65.86999999999999,7,7.0,31.0
2024-05-28 07:44:52+00:00,2024-05-28 07:44:55+00:00,84.93,74.96666666666667,3,3.0,8.0
2024-05-28 07:45:09+00:00,2024-05-28 07:45:13+00:00,70.94,69.1875,4,4.0,17.0
2024-05-28 07:45:42+00:00,2024-05-28 07:45:49+00:00,72.18,68.56285714285714,7,7.0,33.0
2024-05-28 07:47:07+00:00,2024-05-28 07:47:21+00:00,73.76,67.84714285714286,14,14.0,75.0
2024-05-28 07:47:53+00:00,2024-05-28 07:48:56+00:00,75.88,68.63507936507936,63,63.0,46.0
2024-05-28 07:49:01+00:00,2024-05-28 07:49:04+00:00,71.09,69.26,3,3.0,68.0
2024-05-28 07:49:20+00:00,2024-05-28 07:49:33+00:00,75.52,69.24230769230769,13,13.0,19.0
2024-05-28 07:49:55+00:00,2024-05-28 07:50:00+00:00,67.63,67.146,5,5.0,35.0
2024-05-28 07:50:19+00:00,2024-05-28 07:51:16+00:00,81.33,70.02877192982456,57,57.0,24.0
2024-05-28 07:51:43+00:00,2024-05-28 07:51:53+00:00,71.84,69.65299999999999,10,10.0,84.0
