start_time,end_time,max_value,avg_value,length,duration,time_diff
2024-05-28 07:31:02+00:00,2024-05-28 07:31:06+00:00,72.79,70.03,4,4.0,33.0
2024-05-28 07:31:07+00:00,2024-05-28 07:31:10+00:00,82.8,73.12333333333333,3,3.0,5.0
2024-05-28 07:31:22+00:00,2024-05-28 07:31:26+00:00,77.6,73.035,4,4.0,15.0
2024-05-28 07:32:13+00:00,2024-05-28 07:32:16+00:00,67.22,65.97333333333334,3,3.0,51.0
2024-05-28 07:32:18+00:00,2024-05-28 07:32:29+00:00,74.73,68.19181818181818,11,11.0,5.0
2024-05-28 07:32:30+00:00,2024-05-28 07:32:34+00:00,71.35,69.3125,4,4.0,12.0
2024-05-28 07:34:29+00:00,2024-05-28 07:34:33+00:00,76.67,72.10249999999999,4,4.0,119.0
2024-05-28 07:34:35+00:00,2024-05-28 07:34:38+00:00,76.88,76.39999999999999,3,3.0,6.0
2024-05-28 07:34:47+00:00,2024-05-28 07:35:07+00:00,82.31,72.47,20,20.0,12.0
2024-05-28 07:35:08+00:00,2024-05-28 07:35:12+00:00,76.66,71.75,4,4.0,21.0
2024-05-28 07:35:43+00:00,2024-05-28 07:35:47+00:00,74.53,70.4275,4,4.0,35.0
2024-05-28 07:36:10+00:00,2024-05-28 07:36:19+00:00,72.88,69.18333333333334,9,9.0,27.0
2024-05-28 07:43:07+00:00,2024-05-28 07:43:15+00:00,73.34,68.95375,8,8.0,417.0
2024-05-28 07:43:17+00:00,2024-05-28 07:43:21+00:00,66.55,65.8675,4,4.0,10.0
2024-05-28 07:44:11+00:00,2024-05-28 07:44:18+00:00,67.02,66.20428571428572,7,7.0,46.0
2024-05-28 07:44:57+00:00,2024-05-28 07:45:28+00:00,72.35,68.69258064516129,31,31.0,46.0
2024-05-28 07:45:36+00:00,2024-05-28 07:46:34+00:00,79.62,71.255,58,58.0,39.0
2024-05-28 07:46:38+00:00,2024-05-28 07:46:41+00:00,66.65,65.79,3,3.0,62.0
2024-05-28 07:46:46+00:00,2024-05-28 07:47:14+00:00,74.37,68.17428571428572,28,28.0,8.0
2024-05-28 07:47:19+00:00,2024-05-28 07:47:23+00:00,67.73,66.6125,4,4.0,33.0
2024-05-28 07:48:54+00:00,2024-05-28 07:49:28+00:00,74.03,68.1714705882353,34,34.0,48.0
2024-05-28 07:49:43+00:00,2024-05-28 07:49:48+00:00,66.47,65.708,5,5.0,49.0
2024-05-28 07:50:00+00:00,2024-05-28 07:50:04+00:00,67.16,66.4225,4,4.0,17.0
2024-05-28 07:50:22+00:00,2024-05-28 07:51:15+00:00,80.6,69.20377358490566,53,53.0,22.0
2024-05-28 07:51:16+00:00,2024-05-28 07:51:19+00:00,66.21,66.11999999999999,3,3.0,54.0
2024-05-28 07:51:22+00:00,2024-05-28 07:51:28+00:00,73.69,69.63833333333334,6,6.0,6.0
2024-05-28 07:51:41+00:00,2024-05-28 07:51:50+00:00,90.24,73.85222222222222,9,9.0,19.0
2024-05-28 07:51:51+00:00,2024-05-28 07:53:30+00:00,83.43,72.2548484848485,99,99.0,10.0
2024-05-28 07:53:31+00:00,2024-05-28 07:53:50+00:00,74.5,69.38578947368421,19,19.0,100.0
2024-05-28 07:53:56+00:00,2024-05-28 07:53:59+00:00,67.41,66.48333333333333,3,3.0,25.0
2024-05-28 07:54:05+00:00,2024-05-28 07:54:14+00:00,70.91,68.04555555555555,9,9.0,9.0
2024-05-28 07:55:03+00:00,2024-05-28 07:56:31+00:00,82.8,71.18511363636364,88,88.0,58.0
2024-05-28 07:56:39+00:00,2024-05-28 07:56:45+00:00,71.68,68.21666666666667,6,6.0,96.0
2024-05-28 07:56:58+00:00,2024-05-28 07:57:02+00:00,68.18,66.8325,4,4.0,19.0
2024-05-28 07:57:17+00:00,2024-05-28 07:59:13+00:00,85.59,72.68931034482758,116,116.0,19.0
2024-05-28 07:59:14+00:00,2024-05-28 07:59:20+00:00,65.51,65.29833333333333,6,6.0,117.0
2024-05-28 07:59:21+00:00,2024-05-28 07:59:33+00:00,67.48,65.89083333333333,12,12.0,7.0
2024-05-28 07:59:34+00:00,2024-05-28 08:01:16+00:00,88.16,70.19519607843137,102,102.0,13.0
2024-05-28 08:02:10+00:00,2024-05-28 08:02:14+00:00,67.75,66.2325,4,4.0,156.0
2024-05-28 08:02:36+00:00,2024-05-28 08:02:45+00:00,73.24,69.50777777777779,9,9.0,26.0
2024-05-28 08:02:46+00:00,2024-05-28 08:02:49+00:00,68.3,66.99,3,3.0,10.0
2024-05-28 08:02:51+00:00,2024-05-28 08:02:54+00:00,67.59,66.60000000000001,3,3.0,5.0
2024-05-28 08:03:23+00:00,2024-05-28 08:03:28+00:00,73.0,68.788,5,5.0,32.0
2024-05-28 08:03:58+00:00,2024-05-28 08:04:33+00:00,76.64,69.37514285714286,35,35.0,35.0
2024-05-28 08:04:36+00:00,2024-05-28 08:04:39+00:00,66.26,65.55333333333334,3,3.0,38.0
2024-05-28 08:04:44+00:00,2024-05-28 08:05:00+00:00,73.15,69.428125,16,16.0,8.0
2024-05-28 08:05:01+00:00,2024-05-28 08:05:12+00:00,68.81,66.7,11,11.0,17.0
2024-05-28 08:05:53+00:00,2024-05-28 08:06:01+00:00,72.87,68.345,8,8.0,52.0
2024-05-28 08:06:09+00:00,2024-05-28 08:06:17+00:00,70.53,68.31375,8,8.0,16.0
2024-05-28 08:06:29+00:00,2024-05-28 08:06:37+00:00,70.5,68.365,8,8.0,20.0
2024-05-28 08:06:42+00:00,2024-05-28 08:06:56+00:00,69.34,66.88857142857144,14,14.0,13.0
2024-05-28 08:07:03+00:00,2024-05-28 08:07:23+00:00,71.59,67.8395,20,20.0,21.0
2024-05-28 08:08:09+00:00,2024-05-28 08:08:18+00:00,79.58,70.60555555555555,9,9.0,66.0
2024-05-28 08:08:27+00:00,2024-05-28 08:09:49+00:00,79.86,71.4758536585366,82,82.0,18.0
2024-05-28 08:10:33+00:00,2024-05-28 08:11:03+00:00,75.69,70.05733333333335,30,30.0,126.0
2024-05-28 08:11:25+00:00,2024-05-28 08:11:28+00:00,68.97,67.35666666666667,3,3.0,52.0
2024-05-28 08:11:36+00:00,2024-05-28 08:12:25+00:00,74.5,68.92897959183674,49,49.0,11.0
2024-05-28 08:12:37+00:00,2024-05-28 08:14:45+00:00,76.69,69.288359375,128,128.0,61.0
2024-05-28 08:14:56+00:00,2024-05-28 08:14:59+00:00,67.7,66.46333333333332,3,3.0,139.0
2024-05-28 08:15:06+00:00,2024-05-28 08:15:44+00:00,81.69,72.09973684210526,38,38.0,10.0
2024-05-28 08:15:45+00:00,2024-05-28 08:15:50+00:00,65.79,65.436,5,5.0,39.0
2024-05-28 08:15:56+00:00,2024-05-28 08:16:00+00:00,69.87,68.285,4,4.0,11.0
2024-05-28 08:17:41+00:00,2024-05-28 08:18:00+00:00,77.49,71.15842105263158,19,19.0,88.0
2024-05-28 08:18:22+00:00,2024-05-28 08:19:44+00:00,82.81,70.65353658536586,82,82.0,41.0
2024-05-28 08:19:52+00:00,2024-05-28 08:19:56+00:00,70.95,68.4225,4,4.0,90.0
2024-05-28 08:20:48+00:00,2024-05-28 08:20:53+00:00,77.58,68.114,5,5.0,56.0
2024-05-28 08:20:57+00:00,2024-05-28 08:22:34+00:00,81.75,72.0378350515464,97,97.0,9.0
2024-05-28 08:22:36+00:00,2024-05-28 08:24:04+00:00,81.18,69.00375,88,88.0,99.0
2024-05-28 08:24:07+00:00,2024-05-28 08:24:16+00:00,76.39,70.71111111111111,9,9.0,91.0
2024-05-28 08:24:59+00:00,2024-05-28 08:25:16+00:00,73.68,69.52941176470588,17,17.0,52.0
2024-05-28 08:25:19+00:00,2024-05-28 08:28:49+00:00,95.46,72.91495238095237,210,210.0,20.0
2024-05-28 08:29:15+00:00,2024-05-28 08:29:23+00:00,70.46,67.58,8,8.0,236.0
2024-05-28 08:30:13+00:00,2024-05-28 08:33:30+00:00,80.81,70.76299492385786,197,197.0,58.0
2024-05-28 08:33:50+00:00,2024-05-28 08:34:05+00:00,75.38,69.65599999999999,15,15.0,217.0
2024-05-28 08:34:08+00:00,2024-05-28 08:34:13+00:00,67.97,67.126,5,5.0,18.0
2024-05-28 08:34:17+00:00,2024-05-28 08:34:31+00:00,78.08,69.08285714285714,14,14.0,9.0
2024-05-28 08:34:37+00:00,2024-05-28 08:34:49+00:00,76.89,69.38166666666667,12,12.0,20.0
2024-05-28 08:34:50+00:00,2024-05-28 08:35:49+00:00,77.41,70.1549152542373,59,59.0,13.0
2024-05-28 08:35:52+00:00,2024-05-28 08:35:56+00:00,69.28,67.61,4,4.0,62.0
2024-05-28 08:36:04+00:00,2024-05-28 08:36:22+00:00,69.08,66.86055555555555,18,18.0,12.0
2024-05-28 08:36:59+00:00,2024-05-28 08:37:03+00:00,78.78,75.85,4,4.0,55.0
2024-05-28 08:37:04+00:00,2024-05-28 08:37:55+00:00,84.8,72.87509803921569,51,51.0,5.0
2024-05-28 08:37:59+00:00,2024-05-28 08:38:02+00:00,77.27,72.02333333333333,3,3.0,55.0
2024-05-28 08:38:39+00:00,2024-05-28 08:38:46+00:00,73.99,69.51428571428572,7,7.0,40.0
2024-05-28 08:38:50+00:00,2024-05-28 08:38:54+00:00,67.25,66.11,4,4.0,11.0
2024-05-28 08:39:02+00:00,2024-05-28 08:40:26+00:00,81.01,72.35488095238095,84,84.0,12.0
2024-05-28 08:40:35+00:00,2024-05-28 08:40:49+00:00,72.14,68.45714285714286,14,14.0,93.0
2024-05-28 08:40:59+00:00,2024-05-28 08:42:42+00:00,85.23,71.44446601941748,103,103.0,24.0
2024-05-28 08:43:01+00:00,2024-05-28 08:43:13+00:00,73.72,68.6875,12,12.0,122.0
2024-05-28 08:43:19+00:00,2024-05-28 08:43:43+00:00,75.83,69.44291666666668,24,24.0,18.0
2024-05-28 08:43:50+00:00,2024-05-28 08:43:54+00:00,69.66,68.2,4,4.0,31.0
2024-05-28 08:44:01+00:00,2024-05-28 08:44:04+00:00,79.15,70.48333333333333,3,3.0,11.0
2024-05-28 08:44:08+00:00,2024-05-28 08:44:12+00:00,67.66,67.22749999999999,4,4.0,7.0
2024-05-28 08:44:16+00:00,2024-05-28 08:45:00+00:00,77.64,71.06704545454545,44,44.0,8.0
2024-05-28 08:45:08+00:00,2024-05-28 08:45:21+00:00,76.03,68.3623076923077,13,13.0,52.0
2024-05-28 08:45:25+00:00,2024-05-28 08:45:32+00:00,73.07,69.99857142857142,7,7.0,17.0
2024-05-28 08:45:47+00:00,2024-05-28 08:46:06+00:00,68.56,66.58157894736841,19,19.0,22.0
2024-05-28 08:46:20+00:00,2024-05-28 08:47:20+00:00,83.42,71.67416666666666,60,60.0,33.0
2024-05-28 08:47:41+00:00,2024-05-28 08:48:00+00:00,78.6,70.90315789473685,19,19.0,81.0
2024-05-28 08:48:02+00:00,2024-05-28 08:48:05+00:00,66.62,65.96333333333332,3,3.0,21.0
2024-05-28 08:48:22+00:00,2024-05-28 08:48:26+00:00,74.07,69.7,4,4.0,20.0
2024-05-28 08:48:43+00:00,2024-05-28 08:48:47+00:00,74.6,70.26249999999999,4,4.0,21.0
2024-05-28 08:48:48+00:00,2024-05-28 08:49:58+00:00,84.11,70.38957142857143,70,70.0,5.0
2024-05-28 08:51:40+00:00,2024-05-28 08:52:12+00:00,77.75,70.5421875,32,32.0,99.0
2024-05-28 08:52:13+00:00,2024-05-28 08:55:07+00:00,88.06,73.8337356321839,174,174.0,33.0
2024-05-28 08:55:15+00:00,2024-05-28 08:55:18+00:00,65.84,65.42666666666666,3,3.0,182.0
2024-05-28 08:55:39+00:00,2024-05-28 08:56:53+00:00,89.79,73.03054054054054,74,74.0,24.0
2024-05-28 08:56:57+00:00,2024-05-28 08:57:23+00:00,80.89,69.45653846153846,26,26.0,78.0
2024-05-28 08:57:27+00:00,2024-05-28 08:59:07+00:00,87.74,72.5504,100,100.0,30.0
2024-05-28 08:59:16+00:00,2024-05-28 08:59:55+00:00,74.36,69.67615384615384,39,39.0,109.0
2024-05-28 08:59:56+00:00,2024-05-28 09:00:01+00:00,66.19,65.9,5,5.0,40.0
2024-05-28 09:00:06+00:00,2024-05-28 09:00:10+00:00,65.54,65.35,4,4.0,10.0
2024-05-28 09:00:13+00:00,2024-05-28 09:00:16+00:00,65.9,65.53666666666668,3,3.0,7.0
2024-05-28 09:00:17+00:00,2024-05-28 09:01:38+00:00,81.28,70.24901234567902,81,81.0,4.0
2024-05-28 09:01:40+00:00,2024-05-28 09:04:02+00:00,80.45,70.92387323943662,142,142.0,83.0
2024-05-28 09:04:16+00:00,2024-05-28 09:04:19+00:00,68.21,66.77666666666666,3,3.0,156.0
2024-05-28 09:04:38+00:00,2024-05-28 09:06:03+00:00,81.76,72.51105882352941,85,85.0,22.0
2024-05-28 09:06:27+00:00,2024-05-28 09:06:30+00:00,68.11,66.75,3,3.0,109.0
2024-05-28 09:06:33+00:00,2024-05-28 09:06:37+00:00,69.1,67.1125,4,4.0,6.0
2024-05-28 09:06:42+00:00,2024-05-28 09:10:47+00:00,85.54,70.32591836734693,245,245.0,9.0
2024-05-28 09:10:48+00:00,2024-05-28 09:10:57+00:00,70.51,68.21444444444445,9,9.0,246.0
2024-05-28 09:11:01+00:00,2024-05-28 09:11:05+00:00,66.85,66.2825,4,4.0,13.0
2024-05-28 09:11:13+00:00,2024-05-28 09:11:18+00:00,69.54,67.348,5,5.0,12.0
2024-05-28 09:11:38+00:00,2024-05-28 09:11:53+00:00,71.15,68.26066666666667,15,15.0,25.0
2024-05-28 09:12:01+00:00,2024-05-28 09:12:07+00:00,70.66,69.04833333333333,6,6.0,23.0
2024-05-28 09:12:22+00:00,2024-05-28 09:15:10+00:00,87.08,70.83958333333332,168,168.0,21.0
2024-05-28 09:15:11+00:00,2024-05-28 09:15:23+00:00,70.58,67.11166666666666,12,12.0,169.0
2024-05-28 09:15:33+00:00,2024-05-28 09:15:41+00:00,69.72,68.12125,8,8.0,22.0
2024-05-28 09:16:26+00:00,2024-05-28 09:17:45+00:00,81.74,70.43088607594936,79,79.0,53.0
2024-05-28 09:17:48+00:00,2024-05-28 09:17:52+00:00,71.22,66.935,4,4.0,82.0
2024-05-28 09:17:59+00:00,2024-05-28 09:18:06+00:00,74.7,69.44428571428571,7,7.0,11.0
2024-05-28 09:18:17+00:00,2024-05-28 09:18:20+00:00,66.23,66.11333333333333,3,3.0,18.0
2024-05-28 09:18:36+00:00,2024-05-28 09:18:45+00:00,70.48,67.23666666666666,9,9.0,19.0
2024-05-28 09:18:46+00:00,2024-05-28 09:18:50+00:00,67.0,66.3375,4,4.0,10.0
2024-05-28 09:18:52+00:00,2024-05-28 09:19:09+00:00,73.14,69.2835294117647,17,17.0,6.0
2024-05-28 09:20:11+00:00,2024-05-28 09:20:26+00:00,68.41,66.87333333333333,15,15.0,61.0
